Anio,Mes,Dia,Predic_atropello,Predic_choque,Predic_caida,Predic_volcamiento
2019,5,14,10.0,80.0,10.0,4.0
2019,5,15,10.0,79.0,10.0,4.0
2019,5,16,10.0,78.0,10.0,4.0
2019,5,17,11.0,80.0,10.0,4.0
2019,5,18,11.0,73.0,9.0,3.0
2019,5,19,10.0,71.0,9.0,3.0
2019,5,20,10.0,77.0,10.0,4.0
2019,5,21,10.0,79.0,10.0,4.0
2019,5,22,10.0,79.0,10.0,4.0
2019,5,23,10.0,78.0,10.0,4.0
2019,5,24,11.0,80.0,10.0,4.0
2019,5,25,11.0,73.0,9.0,3.0
2019,5,26,10.0,71.0,9.0,3.0
2019,5,27,10.0,77.0,10.0,4.0
2019,5,28,10.0,79.0,10.0,4.0
2019,5,29,10.0,79.0,10.0,4.0
2019,5,30,10.0,78.0,10.0,4.0
2019,5,31,11.0,80.0,10.0,4.0
2019,6,1,10.0,73.0,9.0,3.0
2019,6,2,10.0,72.0,8.0,3.0
2019,6,3,10.0,74.0,9.0,3.0
2019,6,4,10.0,80.0,10.0,3.0
2019,6,5,10.0,79.0,10.0,3.0
2019,6,6,10.0,79.0,10.0,3.0
2019,6,7,11.0,80.0,9.0,3.0
2019,6,8,10.0,73.0,9.0,3.0
2019,6,9,10.0,72.0,8.0,3.0
2019,6,10,10.0,78.0,10.0,4.0
2019,6,11,10.0,80.0,10.0,4.0
2019,6,12,10.0,79.0,10.0,4.0
2019,6,13,10.0,79.0,10.0,4.0
2019,6,14,11.0,80.0,9.0,4.0
2019,6,15,10.0,73.0,9.0,3.0
2019,6,16,10.0,72.0,8.0,3.0
2019,6,17,10.0,78.0,10.0,4.0
2019,6,18,10.0,80.0,10.0,4.0
2019,6,19,10.0,79.0,10.0,4.0
2019,6,20,10.0,79.0,10.0,4.0
2019,6,21,11.0,80.0,9.0,4.0
2019,6,22,10.0,73.0,9.0,3.0
2019,6,23,10.0,71.0,8.0,3.0
2019,6,24,10.0,74.0,9.0,4.0
2019,6,25,10.0,80.0,10.0,4.0
2019,6,26,10.0,79.0,10.0,4.0
2019,6,27,10.0,78.0,10.0,4.0
2019,6,28,11.0,80.0,9.0,4.0
2019,6,29,10.0,73.0,9.0,3.0
2019,6,30,10.0,71.0,8.0,3.0
